"","Point.Forecast","Lo.95","Hi.95"
"Jan 2014",10312755.1827391,9086940.23138696,11538570.1340913
"Feb 2014",8685531.48061763,7387129.56125791,9983933.39997735
"Mar 2014",7203084.68006054,5902687.46006936,8503481.90005171
"Apr 2014",6000250.61672771,4669574.56247699,7330926.67097843
"May 2014",5941905.14329596,4611229.08904524,7272581.19754668
"Jun 2014",8204930.98852065,6874254.93426993,9535607.04277137
"Jul 2014",9501417.69347625,8170741.63922553,10832093.747727
"Aug 2014",9992966.35698692,8662290.3027362,11323642.4112376
"Sep 2014",8493958.62151817,7163282.56726745,9824634.67576889
"Oct 2014",5871671.85786021,4540995.80360949,7202347.91211093
"Nov 2014",6154352.07259645,4823676.01834573,7485028.12684717
"Dec 2014",8381806.26038194,7051130.20613122,9712482.31463267
